Id,Timestep,Fitness,EvaluationTime
35,4095,0,240
42,4102,0,122
5,4111,0,321
18,4116,0,2180
36,4139,0,588
8,4147,0,362
16,4150,0,172
3,4163,0,542
22,4166,0,1540
13,4173,0,602
21,4199,0,206
42,4233,0,79
12,4260,0,118
37,4270,0,1020
16,4276,0,74
24,4283,0,240
18,4286,0,118
1,4293,0,1502
45,4333,0,274
22,4340,0,122
35,4362,0,215
25,4363,0,2997
8,4364,0,165
9,4369,0,285
32,4383,0,755
42,4385,0,100
17,4391,0,354
16,4402,0,74
31,4409,0,1830
33,4416,0,288
37,4470,2.02703,148
13,4479,0,254
12,4496,0,184
6,4505,0,755
42,4505,0,68
8,4534,0,118
33,4550,0,82
24,4559,0,224
47,4578,0,880
43,4584,0,1971
46,4591,0,1495
20,4620,0,1819
36,4621,0,430
16,4627,0,173
7,4632,0,1805
41,4635,0,1745
45,4643,0,258
4,4645,0,1069
38,4653,0,971
44,4708,0.162075,1234
31,4711,0,250
26,4734,0.0940734,1063
47,4734,0,104
3,4757,0,542
8,4770,0,184
9,4772,0,351
49,4772,0,880
36,4777,0,104
32,4795,0.833333,360
4,4797,0,100
46,4799,0,156
22,4825,0,433
47,4851,0,65
16,4863,0,184
36,4882,0,53
33,4890,0,288
2,4908,0,1926
8,4921,0,99
44,4925,0,165
46,4949,0,98
5,4958,0,795
48,4968,0,937
4,4971,0,122
15,4986,0,1551
25,5031,0,616
42,5036,0,479
3,5050,0,241
29,5063,0,1941
38,5076,0,371
2,5085,0,125
9,5087,0,263
16,5088,0,173
46,5091,0,90
23,5095,0,971
40,5108,0,1019
37,5129,0,607
13,5132,0,601
48,5154,0,134
30,5166,0,1325
3,5176,0,74
44,5190,0,213
10,5208,0,1703
41,5216,0,529
33,5230,0,288
46,5241,0,98
16,5255,0,115
13,5272,0,88
42,5272,0,184
22,5310,0,433
10,5322,0,62
6,5323,0,766
20,5330,0,658
9,5348,0,209
4,5383,0,360
42,5424,0,100
10,5446,0,72
29,5448,0,333
46,5449,1.28205,156
27,5502,0,1797
11,5511,0,2348
0,5512,0.12987,1540
36,5522,0,588
39,5546,0,1829
30,5550,0,332
7,5555,0,871
3,5582,0,354
21,5593,0.149031,1342
46,5599,0,98
24,5618,0,1007
49,5619,0,795
29,5623,0,123
38,5638,0.392157,510
42,5660,0,184
14,5661,0.0567215,1763
7,5669,0,62
9,5685,0,285
49,5736,0,65
18,5737,0,1399
38,5771,0,81
37,5788,0,607
22,5795,0,433
19,5795,0.0722804,2767
5,5805,0.628931,795
48,5807,0,601
32,5812,0,965
42,5812,0,100
36,5828,1.1811,254
24,5850,0,180
39,5852,0.393701,254
35,5878,0,1464
0,5915,0,351
32,5929,0,65
28,5943,0,1805
1,5977,0,1632
49,6003,0,215
29,6008,0,333
9,6022,0,285
6,6034,0,659
33,6073,0,791
0,6078,0,111
12,6095,0,1547
35,6102,0,172
38,6103,0,280
23,6118,0,971
16,6130,0,823
8,6136,0,1163
49,6160,0,105
25,6173,0,1090
3,6176,0,542
40,6179,0,1019
18,6221,0,432
12,6252,0,105
24,6253,0.569801,351
10,6254,0,756
26,6257,0,1471
38,6273,0,118
22,6280,0,433
8,6287,0,99
16,6307,0,125
36,6312,0,432
3,6323,0,95
7,6323,0,602
44,6332,0,1090
10,6371,0,65
20,6378,0,996
40,6387,0,156
29,6393,0,333
18,6398,0,125
12,6409,0,105
38,6443,0,118
37,6447,0,607
3,6450,0,75
45,6455,0,1760
4,6466,0,1031
36,6468,0,104
48,6497,0,638
21,6506,0,861
16,6532,0,173
49,6533,0,321
20,6552,0,122
24,6559,0,254
12,6566,0,105
30,6586,0,984
31,6593,0,1830
43,6607,0,1971
32,6619,0,638
17,6623,0,2180
4,6628,0,110
37,6647,0,148
45,6649,3.52113,142
5,6652,1.38365,795
26,6669,0.555556,360
8,6701,0,362
20,6726,0,122
37,6755,0,56
36,6774,0.393701,254
29,6778,0,333
34,6778,0.068918,2902
43,6784,0,125
15,6815,0,1777
32,6819,0,148
42,6924,1.69811,1060
46,6927,0,1276
20,6943,0,165
29,6946,0,116
28,6952,0,957
45,6954,0.395257,253
12,6974,0,356
30,6983,0,345
41,7013,0,1745
17,7029,0,354
6,7051,0,965
46,7054,2.66667,75
36,7080,0,254
26,7081,0.833333,360
0,7095,0,965
23,7102,0,932
8,7113,0,360
31,7149,0,504
41,7163,0,98
10,7179,0.396825,756
30,7191,0,156
48,7208,0.455235,659
26,7248,0,115
46,7262,0,156
8,7264,0,99
40,7268,0,829
0,7270,0,123
31,7289,0,88
39,7303,0,1399
27,7351,0,1797
45,7359,0,353
48,7375,0.869565,115
49,7380,0,795
8,7391,0,75
24,7406,0,795
11,7406,0,1843
39,7407,0,52
37,7414,0,607
7,7418,0,1043
40,7424,0,104
9,7434,0,1360
17,7435,0,354
44,7474,0.0917431,1090
22,7483,0,1151
10,7485,0,254
28,7503,0,499
32,7509,0,638
30,7523,0,280
38,7528,0.193611,1033
31,7595,0,254
44,7598,0,72
9,7604,0,118
49,7612,0,180
26,7660,0.833333,360
24,7671,0,213
21,7673,0,1115
43,7716,0,880
36,7720,0,588
14,7730,0,2017
9,7744,0,88
17,7761,0,274
31,7765,0,118
26,7786,0,74
10,7801,0,264
8,7805,0,362
32,7814,0,253
28,7841,0,286
13,7852,0,2528
47,7870,0,2967
36,7876,0,104
43,7878,0,110
33,7942,0,1817
10,7951,0,98
9,7952,0,156
28,7968,0,75
24,7977,0,254
22,7996,0,461
13,8014,0,110
14,8018,0,236
4,8023,0,1343
36,8032,0,104
42,8036,0.283019,1060
43,8055,0,125
2,8066,0.0682827,2929
7,8072,0,602
48,8086,0,659
46,8088,0,774
12,8089,0,1063
38,8090,0,510
9,8122,0,118
5,8175,0,1471
10,8175,0,172
13,8184,0,118
4,8185,0,110
8,8219,0,362
32,8226,0,360
11,8229,0,771
43,8232,0,125
48,8253,0,115
33,8282,0,288
4,8318,0,81
31,8321,0,504
27,8335,0,932
36,8338,0,254
39,8339,0,880
11,8349,0,68
14,8356,0,286
6,8360,0.318218,1257
1,8377,0,2348
24,8380,0.2849,351
12,8399,0,258
17,8401,0,588
2,8404,0,286
